day         number_of_outages  total_duration_h  avg_duration_h   
2024-02-17  103                1435              13.9377022653722 
2024-02-18  80                 861               10.765           
2024-02-19  484                6021              12.4403236914601 
2024-02-20  507                7543              14.8777120315582 
2024-02-21  367                6252              17.0374205267938 
2024-02-22  734                13045             17.7732288828338 
2024-02-23  472                6736              14.2712923728814 
2024-02-24  182                3951              21.7129120879121 
2024-02-25  48                 386               8.05104166666667 
2024-02-26  514                7526              14.6431258106355 
2024-02-27  328                5376              16.3914634146341 
2024-02-28  518                7248              13.9935328185328 
2024-02-29  502                7868              15.6751328021248 
2024-03-01  212                3478              16.4073113207547 
2024-03-02  59                 785               13.3073446327684 
2024-03-03  63                 836               13.2698412698413 
2024-03-04  546                22674             41.5276862026862 
2024-03-05  467                7012              15.0153818700928 
2024-03-06  366                5806              15.8653916211293 
2024-03-07  412                6646              16.1311084142395 
2024-03-08  391                5028              12.8610826939471 
2024-03-09  390                7365              18.8847863247863 
2024-03-10  83                 771               9.29317269076305 
2024-03-11  476                7723              16.2261554621849 
2024-03-12  466                7702              16.5288626609442 
2024-03-13  465                7697              16.5537634408602 
2024-03-14  487                8581              17.6218685831622 
2024-03-15  202                2739              13.5622112211221 
2024-03-16  73                 608               8.33904109589041 
2024-03-17  99                 508               5.13922558922559 
2024-03-18  228                2720              11.9334795321637 
2024-03-19  733                8392              11.4491132332879 
2024-03-20  373                5878              15.7600536193029 
2024-03-21  85                 281               3.30725490196078 
2024-03-22  2                  6                 3.0              
2024-03-23  1                  2                 2.0              
2024-03-26  1                  3                 3.0              
2024-03-27  142                1244275           8762.5           
2024-04-03  4                  344               86.15            
2024-04-05  3                  123               41.1333333333333 
2024-04-06  147                2087              14.2015873015873 
2024-04-07  94                 681               7.24858156028369 
2024-04-08  611                6692              10.9532733224223 
2024-04-09  498                10886             21.861311914324  
2024-04-10  312                5177              16.5956730769231 
2024-04-11  416                6993              16.8116185897436 
2024-04-12  650                10737             16.5188205128205 
2024-04-13  669                7513              11.2303936223219 
2024-04-14  104                652               6.27644230769231 
2024-04-15  1509               27166             18.0031698696709 
2024-04-16  525                7338              13.9785714285714 
2024-04-17  587                8120              13.8340147643384 
2024-04-18  560                10591             18.9138392857143 
2024-04-19  328                4182              12.7515243902439 
2024-04-20  210                1698              8.08730158730159 
2024-04-21  178                2231              12.5370786516854 
2024-04-22  618                9876              15.9818770226537 
2024-04-23  538                8707              16.1847273853779 
2024-04-24  1222               21849             17.8800872885979 
2024-04-25  398                6272              15.7606365159129 
2024-04-26  590                11554             19.5847175141243 
2024-04-27  141                2162              15.3401891252955 
2024-04-28  438                6619              15.112595129376  
2024-04-29  800                16043             20.0544375       
2024-04-30  732                11162             15.2491575591985 
2024-05-01  161                2234              13.8770186335404 
2024-05-02  544                7680              14.1181985294118 
2024-05-03  359                4688              13.0599814298979 
2024-05-04  79                 771               9.77067510548523 
2024-05-05  222                1469              6.62019519519519 
2024-05-06  576                8863              15.3886574074074 
2024-05-07  504                7091              14.0705687830688 
2024-05-08  336                5429              16.159126984127  
2024-05-09  118                910               7.71398305084746 
2024-05-10  429                4590              10.7010101010101 
2024-05-11  164                1934              11.7977642276423 
2024-05-12  140                1785              12.7521428571429 
2024-05-13  596                13886             23.2988814317673 
2024-05-14  876                14108             16.1054794520548 
2024-05-15  1019               18175             17.8363264638534 
2024-05-16  889                15270             17.1772028496438 
2024-05-17  458                6243              13.6311135371179 
2024-05-18  236                2200              9.32401129943503 
2024-05-19  329                5703              17.3358156028369 
2024-05-20  182                2032              11.1672161172161 
2024-05-21  658                9399              14.2849037487335 
2024-05-22  757                11700             15.4563408190225 
2024-05-23  980                13315             13.5873469387755 
2024-05-24  407                5241              12.8773136773137 
2024-05-25  208                2586              12.433733974359  
2024-05-26  168                1506              8.96984126984127 
2024-05-27  518                8030              15.5030244530245 
2024-05-28  441                6120              13.8791761148904 
2024-05-29  416                7260              17.4520833333333 
2024-05-30  426                8169              19.1781690140845 
2024-05-31  373                15295             41.0054959785523 
2024-06-01  703                16229             23.0854196301565 
2024-06-02  1354               38612             28.5171590349581 
2024-06-03  594                30073             50.6288439955107 
2024-06-04  662                10473             15.820996978852  
2024-06-05  410                6793              16.5685365853659 
2024-06-06  600                10628             17.7133333333333 
2024-06-07  537                7388              13.7595903165736 
2024-06-08  501                2073              4.13779108449767 
2024-06-09  307                18545             60.4099891422367 
2024-06-10  891                15606             17.5158623269734 
2024-06-11  632                10481             16.5852056962025 
2024-06-12  630                8361              13.2714285714286 
2024-06-13  381                6001              15.7532370953631 
2024-06-14  617                9926              16.0886007563479 
2024-06-15  548                8314              15.1730839416058 
2024-06-16  116                1040              8.97370689655173 
2024-06-17  723                10755             14.8768787459659 
2024-06-18  853                11872             13.9185423993748 
2024-06-19  1235               10224             8.27867746288799 
2024-06-20  41                 169               4.12682926829268 
2024-06-21  3                  8                 2.83333333333333 
2024-06-25  2                  9                 4.50833333333333 
2024-06-26  1                  6                 6.0              
2024-09-06  1                  -1926             -1926.36666666667
